#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D7A
#Date Time: 2018-11-30 11:11:58.080
#Sample rate: 50000Hz
#Samples: 81320
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.65 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -4 V

Time (s),Channel 1 (V)
-0.49725999999999981,2.0380386148388032
-0.49724000000000013,2.0380386148388032
-0.49722,2.0377082063766387
-0.49719999999999986,2.0377082063766387
-0.49718000000000018,2.0380386148387983
-0.49716000000000005,2.0380386148388032
-0.49713999999999992,2.0377082063766387
-0.49711999999999978,2.0380386148388032
-0.4971000000000001,2.0380386148388032
-0.49707999999999997,2.0380386148388032
-0.49705999999999984,2.0383690233009633
-0.49704000000000015,2.0380386148388081
-0.49702000000000002,2.0383690233009681
-0.49699999999999989,2.0380386148388032
-0.4969800000000002,2.0380386148388032
-0.49696000000000007,2.0380386148388032
-0.49693999999999994,2.0383690233009681
-0.49691999999999981,2.0380386148387983
-0.49690000000000012,2.0377082063766387
-0.49687999999999999,2.0380386148388032
-0.49685999999999986,2.0380386148388032
-0.49684000000000017,2.0377082063766436
